防具系列ID / 幻化ID	防具系列名称	模型地址
0	Unavailable	无
1	皮製	pl001_0000
2	獵人	pl002_0000
3	蠻顎龍	pl020_0000
4	凶豺龍	pl008_0000
5	骨製	pl003_0000
6	合金	pl004_0000
7	冠突龍	pl005_0000
8	咬魚	pl006_0000
9	巨蜂	pl007_0000
10	搔鳥	pl009_0000
11	毒妖鳥	pl010_0000
12	泥魚龍	pl011_0000
13	土砂龍	pl012_0000
14	飛雷龍	pl013_0000
15	鎖甲	pl014_0000
16	Unavailable	无
17	巨甲蟲	pl017_0000
18	Unavailable	无
19	獨角仙	pl019_0000 (男性限定)
20	雌火龍	pl021_0000
21	凶顎龍	pl022_0000
22	眩鳥	pl023_0000
23	浮空龍	pl024_0000
24	礦石	pl025_0000
25	死神	pl026_0000
26	風漂龍	pl027_0000
27	骨鎚龍	pl028_0000
28	慘爪龍	pl029_0000
29	Unavailable	无
30	鑄鐵	pl031_0000
31	Unavailable	无
32	火龍	pl033_0000
33	角龍	pl034_0000
34	麒麟	pl035_0000
35	旅團	pl036_0000
36	Unavailable	pl037_0000
37	皮製α	pl001_0000
38	皮製β	pl001_0000
39	鎖甲α	pl014_0000
40	鎖甲β	pl014_0000
41	獵人α	pl002_0000
42	獵人β	pl002_0010
43	骨製α	pl003_0000
44	骨製β	pl003_0000
45	合金α	pl004_0000
46	合金β	pl004_0000
47	咬魚α	pl006_0000
48	咬魚β	pl006_0000
49	冠突龍α	pl005_0000
50	冠突龍β	pl005_0000
51	巨蜂α	pl007_0000
52	巨蜂β	pl007_0000
53	突擊龍α	pl015_0000
54	突擊龍β	pl015_0000
55	酸翼龍α	pl016_0000
56	酸翼龍β	pl016_0000
57	巨甲蟲α	pl017_0000
58	巨甲蟲β	pl017_0000
59	Unavailable	无
60	Unavailable	无
61	凶豺龍α	pl008_0000
62	凶豺龍β	pl008_0000
63	搔鳥α	pl009_0000
64	搔鳥β	pl009_0000
65	毒妖鳥α	pl010_0000
66	毒妖鳥β	pl010_0010
67	泥魚龍α	pl011_0000
68	泥魚龍β	pl011_0000
69	土砂龍α	pl012_0000
70	土砂龍β	pl012_0000
71	飛雷龍α	pl013_0000
72	飛雷龍β	pl013_0000
73	雌火龍α	pl021_0000
74	雌火龍β	pl021_0010
75	凶顎龍α	pl022_0000
76	凶顎龍β	pl022_0000
77	眩鳥α	pl023_0000
78	眩鳥β	pl023_0000
79	浮空龍α	pl024_0000
80	浮空龍β	pl024_0000
