Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	Brązowy medal Gildii	charm002
1	CHARM_001_NAME	Srebrny medal Gildii	charm002
2	CHARM_002_NAME	Złoty medal Gildii	charm002
3	CHARM_003_NAME	Brązowy szal symbolu (czer.)	charm003
4	CHARM_004_NAME	Brązowy szal symbolu (żółty)	charm003
5	CHARM_005_NAME	Brązowy szal symbolu (nieb.)	charm003
6	CHARM_006_NAME	Brązowy szal symbolu (róż.)	charm003
7	CHARM_007_NAME	Brązowy szal symbolu (ziel.)	charm003
8	CHARM_008_NAME	Brązowy szal symbolu (szary)	charm003
9	CHARM_009_NAME	Brązowy szal symbolu (brun.)	charm003
10	CHARM_010_NAME	Srebrny szal symbolu (biały)	charm003
11	CHARM_011_NAME	Srebrny szal symbolu (czer.)	charm003
12	CHARM_012_NAME	Srebrny szal symbolu (ziel.)	charm003
13	CHARM_013_NAME	Srebrny szal symbolu (turk.)	charm003
14	CHARM_014_NAME	Srebrny szal symbolu (fiol.)	charm003
15	CHARM_015_NAME	Srebrny szal symbolu (róż.)	charm003
16	CHARM_016_NAME	Srebrny szal symbolu (pom.)	charm003
17	CHARM_017_NAME	Złoty szal symbolu (brun.)	charm003
18	CHARM_018_NAME	Złoty szal symbolu (biały)	charm003
19	CHARM_019_NAME	Złoty szal symbolu (c. ziel.)	charm003
20	CHARM_020_NAME	Złoty szal symbolu (j. ziel.)	charm003
21	CHARM_021_NAME	Złoty szal symbolu (fiol.)	charm003
22	CHARM_022_NAME	Złoty szal symbolu (pom.)	charm003
23	CHARM_023_NAME	Złoty szal symbolu (nieb.)	charm003
24	CHARM_024_NAME	Przew. szmaragdowy kryształ	charm004
25	CHARM_025_NAME	Przewodni zielony kryształ	charm004
26	CHARM_026_NAME	Przewodni słoneczny kryształ	charm004
27	CHARM_027_NAME	Przewodni mroczny kryształ	charm004
28	CHARM_028_NAME	Przew. morganitowy kryształ	charm004
29	CHARM_029_NAME	Przew. celestynowy kryształ	charm004
30	CHARM_030_NAME	Przewodni cytrynowy kryształ	charm004
31	CHARM_031_NAME	Przew. diamentowy kryształ	charm004
