Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	Médaille - bronze	charm002
1	CHARM_001_NAME	Médaille - argent	charm002
2	CHARM_002_NAME	Médaille - or	charm002
3	CHARM_003_NAME	Foulard - bronze/rouge	charm003
4	CHARM_004_NAME	Foulard - bronze/jaune	charm003
5	CHARM_005_NAME	Foulard - bronze/bleu	charm003
6	CHARM_006_NAME	Foulard - bronze/rose	charm003
7	CHARM_007_NAME	Foulard - bronze/vert	charm003
8	CHARM_008_NAME	Foulard - bronze/gris	charm003
9	CHARM_009_NAME	Foulard - bronze/bordeaux	charm003
10	CHARM_010_NAME	Foulard - argent/blanc	charm003
11	CHARM_011_NAME	Foulard - argent/rouge	charm003
12	CHARM_012_NAME	Foulard - argent/vert	charm003
13	CHARM_013_NAME	Foulard - argent/cyan	charm003
14	CHARM_014_NAME	Foulard - argent/violet	charm003
15	CHARM_015_NAME	Foulard - argent/rose	charm003
16	CHARM_016_NAME	Foulard - argent/orange	charm003
17	CHARM_017_NAME	Foulard - or/marron	charm003
18	CHARM_018_NAME	Foulard - or/gris	charm003
19	CHARM_019_NAME	Foulard - or/vert	charm003
20	CHARM_020_NAME	Foulard - or/jade	charm003
21	CHARM_021_NAME	Foulard - or/violet	charm003
22	CHARM_022_NAME	Foulard - or/orange	charm003
23	CHARM_023_NAME	Foulard - or/bleu	charm003
24	CHARM_024_NAME	Cristal - sylve	charm004
25	CHARM_025_NAME	Cristal - printemps	charm004
26	CHARM_026_NAME	Cristal - soleil	charm004
27	CHARM_027_NAME	Cristal - crépuscule	charm004
28	CHARM_028_NAME	Cristal - morganite	charm004
29	CHARM_029_NAME	Cristal - célestine	charm004
30	CHARM_030_NAME	Cristal - citrine	charm004
31	CHARM_031_NAME	Cristal - lunaire	charm004
32	CHARM_032_NAME	Cristal - écarlate	charm004
33	CHARM_033_NAME	Cristal - hématite	charm004
34	CHARM_034_NAME	Cristal - glacier	charm004
35	CHARM_035_NAME	Cristal - tanzanite	charm004
36	CHARM_036_NAME	Étoile - forêt	charm001
37	CHARM_037_NAME	Étoile - désert	charm001
38	CHARM_038_NAME	Étoile - corail	charm001
39	CHARM_039_NAME	Étoile - miasme	charm001
40	CHARM_040_NAME	Étoile - volcan	charm001
41	CHARM_041_NAME	Étoile - toundra	charm001
42	CHARM_042_NAME	Chasseur alpha - bronze	charm005
43	CHARM_043_NAME	Chasseur alpha - argent	charm005
44	CHARM_044_NAME	Chasseur alpha - or	charm005
45	CHARM_045_NAME	Conquérant - diamant	charm005
46	CHARM_046_NAME	Conquérant - rubis	charm005
47	CHARM_047_NAME	Conquérant - émeraude	charm005
48	CHARM_048_NAME	Conquérant - ambre	charm005
49	CHARM_049_NAME	Conquérant - saphir	charm005
50	CHARM_050_NAME	Conquérant - topaze	charm005
51	CHARM_051_NAME	Conquérant - améthyste	charm005
52	CHARM_052_NAME	Conquérant - or/rouge	charm005
53	CHARM_053_NAME	Conquérant - or/bleu	charm005
54	CHARM_054_NAME	Conquérant - bronze	charm005
55	CHARM_055_NAME	Conquérant - turquoise	charm005
56	CHARM_056_NAME	Conquérant - indigo	charm005
57	CHARM_057_NAME	Conquérant - obsidienne	charm005
58	CHARM_058_NAME	Conquérant - vermeil	charm005
59	CHARM_059_NAME	Conquérant - impérial	charm005
60	CHARM_060_NAME	Conquérant - sakura	charm005
61	CHARM_061_NAME	Bouquet de roses	charm006
62	DUMMY000000	Unavailable	charm001
63	DUMMY000001	Unavailable	charm001
64	CHARM_064_NAME	Tigre porte-bonheur - écarlate	charm009
65	CHARM_065_NAME	Pixie - ciel	charm010
66	CHARM_066_NAME	Griffe - Rajang	charm011
67	CHARM_067_NAME	Cornes - Rajang orage	charm012
68	CHARM_068_NAME	Griffe - Zinogre stygien	charm013
69	CHARM_069_NAME	Corne - Safi'Jiiva	charm014
70	CHARM_070_NAME	Éclat - Brachydios tempête	charm015
71	DUMMY000002	Unavailable	charm001
72	CHARM_072_NAME	Griffe - Rathian d'or	charm017
73	CHARM_073_NAME	Griffe - Rathalos d'argent	charm018
74	DUMMY000003	Unavailable	charm001
75	DUMMY000004	Unavailable	charm001
76	DUMMY000005	Unavailable	charm001
77	DUMMY000006	Unavailable	charm001
78	DUMMY000007	Unavailable	charm001
79	DUMMY000008	Unavailable	charm001
80	DUMMY000009	Unavailable	charm001
81	DUMMY000010	Unavailable	charm001
82	CHARM_082_NAME	Éclat - Namielle alpha suprême	charm027
83	DUMMY000011	Unavailable	charm001
84	DUMMY000012	Unavailable	charm001
85	DUMMY000013	Unavailable	charm001
86	CHARM_086_NAME	HARDUMMY	charm031
87	CHARM_087_NAME	HARDUMMY	charm032
88	CHARM_088_NAME	Raccoon City - R.P.D.	charm033
89	CHARM_089_NAME	Raccoon City - Umbrella	charm034
90	CHARM_090_NAME	Taupinette - chance	charm035
91	CHARM_091_NAME	Taupinette - santé	charm036
92	CHARM_092_NAME	Taupinette - sécurité	charm037
93	CHARM_093_NAME	Taupinette - amour	charm038
94	CHARM_094_NAME	Taupinette - protection	charm039
95	CHARM_095_NAME	Taupinette - passion	charm040
96	CHARM_096_NAME	Taupinette - paix	charm041
97	CHARM_097_NAME	Peluche Felyne	charm042
98	CHARM_098_NAME	HARDUMMY	charm044
99	CHARM_099_NAME	HARDUMMY	charm045
100	CHARM_100_NAME	HARDUMMY	charm043
101	CHARM_101_NAME	Bouquet de roses - nymphe	charm006
102	CHARM_102_NAME	Bouquet de roses - orange	charm006
103	CHARM_103_NAME	Bouquet de roses - rouge	charm006
104	CHARM_104_NAME	Bouquet de roses - bleu	charm006
105	DUMMY000014	Unavailable	charm001
106	DUMMY000015	Unavailable	charm001
107	DUMMY000016	Unavailable	charm001
108	DUMMY000017	Unavailable	charm001
109	DUMMY000018	Unavailable	charm001
110	DUMMY000019	Unavailable	charm001
111	DUMMY000020	Unavailable	charm001
112	DUMMY000021	Unavailable	charm001
113	CHARM_113_NAME	Tigre porte-bonheur - pêche	charm009
114	CHARM_114_NAME	Tigre porte-bonheur - vert	charm009
115	CHARM_115_NAME	Tigre porte-bonheur - violet	charm009
116	CHARM_116_NAME	Tigre porte-bonheur - ciel	charm009
117	CHARM_117_NAME	Pixie - pêche	charm010
118	CHARM_118_NAME	Pixie - rouge	charm010
119	CHARM_119_NAME	Pixie - bleu	charm010
120	CHARM_120_NAME	Pixie - vert	charm010
121	DUMMY000022	Unavailable	charm001
122	CHARM_122_NAME	Bouquet de roses - vert	charm006
123	CHARM_123_NAME	Bouquet de roses - pourpre	charm006
124	DUMMY000023	Unavailable	charm001
125	DUMMY000024	Unavailable	charm001
126	DUMMY000025	Unavailable	charm001
127	DUMMY000026	Unavailable	charm001
128	CHARM_128_NAME	Tigre porte-bonheur - pistache	charm009
129	CHARM_129_NAME	Tigre porte-bonheur - orange	charm009
130	CHARM_130_NAME	Pixie - pourpre	charm010
131	CHARM_131_NAME	Pixie - onyx	charm010
132	CHARM_132_NAME	Raccoon City - Tofu	charm047
133	CHARM_133_NAME	Voile sacré - rouge	charm048
134	CHARM_134_NAME	Voile abyssal - rouge	charm049
135	CHARM_135_NAME	Peluche Felyne - blanc	charm042
136	CHARM_136_NAME	Peluche Melynx	charm053
137	CHARM_137_NAME	Peluche Felyne - rose	charm042
138	CHARM_138_NAME	Peluche Felyne - raisin	charm042
139	CHARM_139_NAME	Peluche Felyne - menthe	charm042
140	CHARM_140_NAME	Peluche Felyne - orange	charm042
141	CHARM_141_NAME	Voile sacré - vert	charm048
142	CHARM_142_NAME	Voile sacré - azur	charm048
143	CHARM_143_NAME	Voile sacré - ciel	charm048
144	CHARM_144_NAME	Voile sacré - pourpre	charm048
145	CHARM_145_NAME	Voile sacré - orange	charm048
146	CHARM_146_NAME	Voile sacré - rose	charm048
147	CHARM_147_NAME	Voile abyssal - vert	charm049
148	CHARM_148_NAME	Voile abyssal - azur	charm049
149	CHARM_149_NAME	Voile abyssal - ciel	charm049
150	CHARM_150_NAME	Voile abyssal - pourpre	charm049
151	CHARM_151_NAME	Voile abyssal - orange	charm049
152	CHARM_152_NAME	Voile abyssal - rose	charm049
153	CHARM_153_NAME	Peluche Pukei-Pukei	charm052
154	CHARM_154_NAME	Peluche Pukei-Pukei corail	charm056
155	CHARM_155_NAME	Peluche Paolumu	charm050
156	CHARM_156_NAME	Peluche Paolumu belladone	charm054
157	CHARM_157_NAME	Peluche Rajang	charm055
158	CHARM_158_NAME	Peluche Rajang orage	charm051
159	CHARM_159_NAME	Méduse volante	charm057
160	CHARM_160_NAME	Ballon - rouge	charm058
161	CHARM_161_NAME	Ballons - rouge et blanc	charm058
162	CHARM_162_NAME	Ballons - Assortiment	charm058
163	CHARM_163_NAME	Méduses volantes	charm057
164	CHARM_164_NAME	Amulette de l'étoile solitaire	charm069
165	CHARM_165_NAME	Kulve d'or	charm059
166	CHARM_166_NAME	Kjárr d'or	charm060
167	CHARM_167_NAME	Cœur Kulve - émeraude	charm061
168	CHARM_168_NAME	Cœur Kulve - rubis	charm061
169	CHARM_169_NAME	Cœur Kulve - cristal	charm061
170	CHARM_170_NAME	Cœur Kulve - topaze	charm062
171	CHARM_171_NAME	Cœur Kulve - saphir	charm062
172	CHARM_172_NAME	Cœur Kulve - quartz rose	charm062
173	DUMMY000027	Unavailable	charm001
174	DUMMY000028	Unavailable	charm001
175	DUMMY000029	Unavailable	charm001
